team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,total
Bayern Munich,0.8252,0.2702,0.1661,0.8521,0.73,0.3418,0.0307,0.5522,0.3982,0.7741,0.1333,0.2081,0.6073,0.6359,0.3495,0.8701,0.4668,0.4382,0.3398,0.6149,0.3304,0.788,0.8287,0.3987,0.4545,0.8259,0.3504,0.4503,0.6728,0.0719,0.6859,0.1553,0.05,0.1796,15.8469
RasenBallsport Leipzig,0.2354,0.6035,0.2119,0.7917,0.6821,0.7196,0.485,0.2288,0.8147,0.5893,0.0615,0.468,0.2221,0.5129,0.809,0.0006,0.4012,0.2917,0.013,0.173,0.1255,0.3961,0.3487,0.1132,0.0223,0.3032,0.0161,0.5203,0.4695,0.4245,0.5162,0.7883,0.006,0.0533,12.4182
Eintracht Frankfurt,0.3107,0.7526,0.0365,0.4413,0.1536,0.6182,0.1642,0.8436,0.4958,0.4832,0.3285,0.1224,0.4969,0.8006,0.1192,0.2415,0.0146,0.5238,0.7695,0.0422,0.1277,0.4288,0.0409,0.0128,0.8719,0.8095,0.3326,0.5624,0.0374,0.413,0.5356,0.1724,0.0828,0.1568,12.3435
Borussia Dortmund,0.2908,0.3007,0.831,0.0295,0.2839,0.1342,0.3072,0.12,0.6138,0.4674,0.3544,0.4899,0.3351,0.3123,0.1501,0.1629,0.4555,0.4787,0.9331,0.0979,0.8037,0.7197,0.5137,0.1159,0.1954,0.5454,0.3142,0.0669,0.2722,0.3729,0.7508,0.1824,0.145,0.1203,12.2669
Hoffenheim,0.0391,0.4363,0.029,0.108,0.246,0.0419,0.3618,0.5008,0.7706,0.1792,0.0896,0.1151,0.0953,0.5497,0.1537,0.5679,0.6272,0.1859,0.3377,0.0089,0.7204,0.7442,0.409,0.0858,0.3554,0.7508,0.0338,0.3475,0.0097,0.2343,0.8377,0.0145,0.1791,0.7624,10.9283
FC Cologne,0.5617,0.3852,0.2009,0.2018,0.3851,0.0676,0.1744,0.1635,0.7274,0.3557,0.0838,0.5919,0.0447,0.421,0.6763,0.1863,0.5983,0.0889,0.5251,0.2881,0.0863,0.3636,0.1652,0.2139,0.0568,0.1831,0.5074,0.5239,0.1712,0.217,0.0362,0.1436,0.0217,0.8656,10.2832
Borussia M.Gladbach,0.2542,0.106,0.1945,0.1471,0.5439,0.0019,0.8054,0.1371,0.6653,0.1143,0.6541,0.42,0.0507,0.5794,0.699,0.067,0.39,0.1469,0.5704,0.2966,0.4299,0.3865,0.1316,0.1618,0.0796,0.0246,0.3729,0.3327,0.0311,0.0651,0.0193,0.1299,0.2265,0.5305,9.7658
Mainz 05,0.0735,0.0599,0.3544,0.3671,0.1409,0.2147,0.0382,0.2346,0.8003,0.0225,0.0588,0.0663,0.1305,0.6886,0.2916,0.0513,0.6566,0.2779,0.044,0.6424,0.5473,0.2764,0.3809,0.0927,0.2727,0.1599,0.1444,0.2396,0.7606,0.3877,0.1846,0.7128,0.0048,0.2099,9.5884
Schalke 04,0.0697,0.0625,0.4459,0.1876,0.0751,0.4215,0.6524,0.3146,0.3874,0.1857,0.7536,0.0488,0.071,0.2495,0.168,0.0152,0.5841,0.6501,0.2415,0.5345,0.733,0.3593,0.0219,0.179,0.5163,0.2651,0.0465,0.1023,0.1302,0.4398,0.1911,0.0272,0.116,0.0177,9.2641
Wolfsburg,0.6294,0.1948,0.1049,0.0503,0.2913,0.7691,0.0724,0.2029,0.0703,0.3506,0.2958,0.0064,0.1062,0.06,0.1139,0.1415,0.4933,0.0598,0.1537,0.3993,0.0566,0.2334,0.3152,0.5391,0.3923,0.4151,0.4078,0.1472,0.854,0.0162,0.0611,0.2493,0.1244,0.5294,8.907
Hertha Berlin,0.6879,0.2995,0.6425,0.0342,0.1411,0.2995,0.0225,0.1178,0.034,0.4983,0.2057,0.08,0.1808,0.205,0.1407,0.2462,0.045,0.5266,0.5827,0.2599,0.1511,0.5354,0.464,0.3166,0.2619,0.0011,0.1294,0.4126,0.341,0.1434,0.0856,0.0343,0.4407,0.0006,8.5676
Bayer Leverkusen,0.1036,0.468,0.0621,0.788,0.0319,0.3551,0.1089,0.0567,0.2666,0.2715,0.2847,0.1098,0.5362,0.4813,0.0663,0.4694,0.1874,0.0911,0.2626,0.4905,0.1665,0.2087,0.0006,0.3074,0.1146,0.0767,0.5641,0.1483,0.0662,0.3006,0.0199,0.6382,0.2782,0.0032,8.3849
Ingolstadt,0.7277,0.3668,0.6313,0.6962,0.2428,0.0046,0.0026,0.0082,0.0418,0.2356,0.0803,0.592,0.0577,0.1465,0.5048,0.0967,0.0855,0.6019,0.3878,0.0984,0.038,0.2184,0.0949,0.133,0.5469,0.4006,0.1254,0.1933,0.1068,0.0323,0.1707,0.171,0.1824,0.2658,8.2887
Augsburg,0.4735,0.0861,0.1216,0.0557,0.8759,0.3352,0.4358,0.0953,0.0079,0.546,0.161,0.187,0.6668,0.3755,0.7464,0.1137,0.0506,0.1282,0.0365,0.0778,0.0051,0.4087,0.1909,0.0049,0.1811,0.003,0.1219,0.0894,0.0771,0.1007,0.7397,0.1879,0.0879,0.4175,8.1923
Freiburg,0.4015,0.8754,0.0974,0.4739,0.0039,0.4775,0.032,0.2274,0.2126,0.047,0.0267,0.0749,0.0059,0.5373,0.3471,0.23,0.5342,0.5785,0.0811,0.0963,0.0701,0.0005,0.124,0.1228,0.2861,0.3085,0.0773,0.37,0.2317,0.1626,0.1404,0.6489,0.126,0.0071,8.0366
Werder Bremen,0.0025,0.1469,0.0033,0.1973,0.6071,0.1402,0.5696,0.012,0.0846,0.0278,0.1359,0.053,0.3044,0.5814,0.0626,0.1538,0.0273,0.5041,0.1388,0.2297,0.3891,0.0763,0.1152,0.0833,0.4654,0.0635,0.4697,0.0251,0.4523,0.0465,0.4506,0.0179,0.3335,0.0022,6.9729
Hamburger SV,0.2306,0.065,0.0018,0.0253,0.063,0.0314,0.0057,0.2331,0.0166,0.0138,0.0479,0.2411,0.5521,0.3473,0.2293,0.6324,0.2162,0.1224,0.7648,0.1703,0.3477,0.0065,0.6704,0.1684,0.2979,0.1731,0.005,0.1211,0.1015,0.1535,0.0161,0.1325,0.174,0.3794,6.7572
Darmstadt,0.0129,0.1172,0.0036,0.1876,0.1063,0.1206,0.0156,0.5231,0.1111,0.4807,0.2652,0.0208,0.0868,0.0846,0.2247,0.0896,0.2138,0.0118,0.0252,0.4585,0.0745,0.0717,0.0575,0.1735,0.068,0.0063,0.0854,0.0092,0.0256,0.27,0.1635,0.054,0.1723,0.0919,4.4831
